,PM10,PM2.5,CO
2018-01-01 01:00:00,11,,
2018-01-01 02:00:00,16,,0.11
2018-01-01 03:00:00,8,,
2018-01-01 04:00:00,9,,
2018-01-01 05:00:00,6,,
2018-01-01 07:00:00,5,,
2018-01-01 09:00:00,5,,
2018-01-01 10:00:00,911,1,-0.17
2018-01-01 11:00:00,81,8,
2018-01-01 14:00:00,10,7,
2018-01-01 15:00:00,13,13,
2018-01-01 16:00:00,12,,
2018-01-01 17:00:00,11,,
2018-01-01 18:00:00,16,6,
2018-01-01 19:00:00,13,,
2018-01-01 20:00:00,12,,
2018-01-01 21:00:00,8,,
2018-01-01 22:00:00,5,5,
2018-01-01 23:00:00,9,,
2018-01-02 00:00:00,7,,
2018-01-02 01:00:00,9,5,
2018-01-02 02:00:00,8,,
2018-01-02 03:00:00,6,5,
2018-01-02 04:00:00,8,,
2018-01-02 05:00:00,6,,
2018-01-02 06:00:00,7,,
2018-01-02 07:00:00,8,6,
2018-01-02 09:00:00,11,,
2018-01-02 10:00:00,17,17,
2018-01-02 11:00:00,13,,
2018-01-02 12:00:00,21,13,0.13
2018-01-02 13:00:00,21,,0.15
2018-01-02 14:00:00,24,24,
2018-01-02 15:00:00,18,,
2018-01-02 16:00:00,18,,0.11
2018-01-02 17:00:00,24,,0.06
2018-01-02 18:00:00,20,18,0.09
2018-01-02 19:00:00,18,,
2018-01-02 20:00:00,10,,
2018-01-02 21:00:00,7,,
2018-01-02 22:00:00,5,,
2018-01-02 23:00:00,5,,
2018-01-03 01:00:00,6,6,
2018-01-03 02:00:00,7,,
2018-01-03 03:00:00,6,,
2018-01-03 04:00:00,7,,
2018-01-03 05:00:00,9,,
2018-01-03 06:00:00,13,11,
2018-01-03 07:00:00,25,15,
2018-01-03 08:00:00,26,14,
2018-01-03 09:00:00,27,15,
2018-01-03 10:00:00,30,16,
2018-01-03 11:00:00,35,8,
2018-01-03 12:00:00,25,,0.07
2018-01-03 13:00:00,27,,
2018-01-03 14:00:00,24,,
2018-01-03 15:00:00,27,,0.09
2018-01-03 16:00:00,27,,
2018-01-03 17:00:00,22,,
2018-01-03 18:00:00,32,,0.3
2018-01-03 19:00:00,50,47,0.57
2018-01-03 20:00:00,104,34,0.6
2018-01-03 21:00:00,107,17,0.74
2018-01-03 22:00:00,139,30,1.09
2018-01-03 23:00:00,148,29,1.52
2018-01-04 00:00:00,142,24,1.33
2018-01-04 01:00:00,158,35,0.61
2018-01-04 02:00:00,132,17,0.21
2018-01-04 03:00:00,98,24,0.31
2018-01-04 04:00:00,97,21,0.56
2018-01-04 05:00:00,120,41,0.49
2018-01-04 06:00:00,124,34,0.23
2018-01-04 07:00:00,83,14,0.8
2018-01-04 09:00:00,220,68,3.03
2018-01-04 10:00:00,234,90,2.42
2018-01-04 11:00:00,204,78,0.83
2018-01-04 15:00:00,46,,0.33
2018-01-04 16:00:00,50,,0.13
2018-01-04 17:00:00,56,56,0.26
2018-01-04 18:00:00,63,54,0.45
2018-01-04 19:00:00,83,35,0.43
2018-01-04 20:00:00,87,9,0.31
2018-01-04 21:00:00,80,9,0.74
2018-01-04 22:00:00,115,7,0.43
2018-01-04 23:00:00,142,13,0.69
2018-01-05 00:00:00,145,24,0.42
2018-01-05 01:00:00,120,13,0.11
2018-01-05 02:00:00,82,6,0.23
2018-01-05 03:00:00,86,,0.08
2018-01-05 04:00:00,43,,
2018-01-05 05:00:00,43,6,
2018-01-05 06:00:00,49,8,
2018-01-05 07:00:00,54,6,
2018-01-05 08:00:00,48,10,0.33
2018-01-05 09:00:00,60,15,0.66
2018-01-05 10:00:00,71,12,0.51
2018-01-05 12:00:00,51,31,0.71
2018-01-05 13:00:00,84,38,0.37
2018-01-05 14:00:00,61,54,0.29
2018-01-05 15:00:00,66,,0.43
2018-01-05 16:00:00,57,,0.5
2018-01-05 17:00:00,62,,0.48
2018-01-05 18:00:00,83,73,0.79
2018-01-05 19:00:00,97,48,1.46
2018-01-05 20:00:00,140,19,0.5
2018-01-05 21:00:00,89,,0.62
2018-01-05 22:00:00,125,9,0.79
2018-01-05 23:00:00,120,,0.79
2018-01-06 00:00:00,135,12,0.93
2018-01-06 01:00:00,147,15,0.62
2018-01-06 02:00:00,112,6,0.84
2018-01-06 03:00:00,126,22,0.95
2018-01-06 04:00:00,128,30,0.95
2018-01-06 05:00:00,137,37,0.65
2018-01-06 06:00:00,111,29,0.5
2018-01-06 07:00:00,119,36,0.62
2018-01-06 09:00:00,161,33,1.08
2018-01-06 10:00:00,162,49,0.52
2018-01-06 11:00:00,134,48,0.54
2018-01-06 12:00:00,104,54,0.28
2018-01-06 13:00:00,73,61,0.39
2018-01-06 14:00:00,89,70,0.45
2018-01-06 15:00:00,81,74,0.47
2018-01-06 16:00:00,81,,0.75
2018-01-06 17:00:00,105,90,0.73
2018-01-06 18:00:00,90,70,0.91
2018-01-06 19:00:00,94,40,0.74
2018-01-06 20:00:00,86,11,1.3
2018-01-06 21:00:00,96,8,0.79
2018-01-06 22:00:00,124,13,1.27
2018-01-06 23:00:00,129,6,0.55
2018-01-07 00:00:00,58,,0.62
2018-01-07 01:00:00,55,,0.54
2018-01-07 02:00:00,45,,0.41
2018-01-07 03:00:00,48,,0.45
2018-01-07 04:00:00,45,6,0.28
2018-01-07 05:00:00,36,8,
2018-01-07 06:00:00,37,16,0.47
2018-01-07 07:00:00,46,11,0.22
2018-01-07 09:00:00,84,37,0.67
2018-01-07 10:00:00,95,39,0.38
2018-01-07 11:00:00,68,32,0.4
2018-01-07 12:00:00,56,28,0.13
2018-01-07 13:00:00,54,48,0.19
2018-01-07 14:00:00,61,60,0.37
2018-01-07 15:00:00,59,,0.69
2018-01-07 16:00:00,85,79,0.52
2018-01-07 17:00:00,60,,0.68
2018-01-07 18:00:00,68,,0.71
2018-01-07 19:00:00,73,55,0.82
2018-01-07 20:00:00,103,25,1.88
2018-01-07 21:00:00,148,33,1.01
2018-01-07 22:00:00,102,,0.66
2018-01-07 23:00:00,82,,0.49
2018-01-08 00:00:00,73,,0.41
2018-01-08 01:00:00,84,17,0.86
2018-01-08 02:00:00,120,10,0.1
2018-01-08 03:00:00,51,,0.08
2018-01-08 04:00:00,30,,0.05
2018-01-08 05:00:00,30,,0.05
2018-01-08 06:00:00,40,,0.21
2018-01-08 07:00:00,44,5,0.26
2018-01-08 08:00:00,62,,0.2
2018-01-08 10:00:00,97,5,0.17
2018-01-08 11:00:00,95,13,0.15
2018-01-08 12:00:00,96,28,0.14
2018-01-08 13:00:00,63,38,0.17
2018-01-08 14:00:00,50,49,0.3
2018-01-08 15:00:00,40,,0.42
2018-01-08 16:00:00,33,,0.32
2018-01-08 17:00:00,36,,0.23
2018-01-08 18:00:00,35,,0.43
2018-01-08 19:00:00,53,52,0.54
2018-01-08 20:00:00,91,11,0.54
2018-01-08 21:00:00,94,,0.97
2018-01-08 22:00:00,212,,0.95
2018-01-08 23:00:00,150,,0.62
2018-01-09 00:00:00,104,,0.81
2018-01-09 01:00:00,115,,0.66
2018-01-09 02:00:00,122,,0.64
2018-01-09 03:00:00,99,,0.47
2018-01-09 04:00:00,92,,0.47
2018-01-09 05:00:00,123,,0.42
2018-01-09 06:00:00,117,5,0.51
2018-01-09 07:00:00,127,17,0.7
2018-01-09 08:00:00,149,19,0.96
2018-01-09 09:00:00,169,10,1.18
2018-01-09 10:00:00,163,30,0.64
2018-01-09 11:00:00,129,46,0.55
2018-01-09 12:00:00,114,61,0.44
2018-01-09 13:00:00,91,67,0.35
2018-01-09 14:00:00,58,,0.24
2018-01-09 15:00:00,58,,0.42
2018-01-09 16:00:00,70,,0.66
2018-01-09 17:00:00,86,72,0.58
2018-01-09 18:00:00,81,49,1.19
2018-01-09 19:00:00,139,44,1.02
2018-01-09 21:00:00,123,,0.78
2018-01-09 22:00:00,127,,0.72
2018-01-09 23:00:00,131,,0.76
2018-01-10 00:00:00,110,,0.44
2018-01-10 01:00:00,84,,0.54
2018-01-10 02:00:00,111,,0.6
2018-01-10 03:00:00,96,,0.58
2018-01-10 04:00:00,64,,0.4
2018-01-10 05:00:00,45,,0.45
2018-01-10 06:00:00,56,,0.57
2018-01-10 07:00:00,78,15,0.85
2018-01-10 08:00:00,153,15,1.37
2018-01-10 11:00:00,127,25,0.24
2018-01-10 12:00:00,80,42,0.24
2018-01-10 13:00:00,65,,0.23
2018-01-10 14:00:00,81,,0.53
2018-01-10 15:00:00,71,,0.98
2018-01-10 16:00:00,67,,0.71
2018-01-10 17:00:00,149,120,0.67
2018-01-10 18:00:00,104,87,1.27
2018-01-10 19:00:00,119,61,1.77
2018-01-10 20:00:00,168,38,2.11
2018-01-10 21:00:00,248,30,1.55
